"ID","Source File","Section / Heading","Extracted Text","Issue Type","Severity","Recommended Treatment","Known Decision / Recommended Answer","Question for Alex / Committee","Proposed Codex Action After Answer","Status"
"DEC-111","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","9. Privacy, Records, and Communications Decisions","| PR-04 | Cross-border data transfer | Singapore Committee members may review minimised/anonymised application packs where practicable; raw records remain restricted to authorised HR/Finance unless needed | Approved | Chairman / Committee / HR | Chairman/Committee-approved internal compliance position; no external legal advice obtained. | Management decis...","Warning / Control Text","Administrative","Keep as warning/control","No ROS activation and no fundraising in Phase 1.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-112","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","9. Privacy, Records, and Communications Decisions","| PR-05 | Retention period | Retain Bursary records for the period required for HR, payroll, audit, tax, and administration, using restricted access; Committee may set or update the retention period administratively | Approved control | Chairman / Committee / HR / Finance | Approved internally for Phase 1 operation, subject to the approved controls in thi...","Approval Evidence Needed","Administrative","Convert to approval evidence item","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Finance/Admin Evidence"
"DEC-113","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","9. Privacy, Records, and Communications Decisions","| COM-01 | Internal launch message | Draft only after charter/SOP assumptions are settled | Provisional | HR / Executive Sponsor | | Roadmap | |","Already Decided / Needs Propagation","Minor","No action","Final communications still need pre-publication check.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-114","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","9. Privacy, Records, and Communications Decisions","| COM-02 | LinkedIn and corporate website post | Draft allowed; post effective 1 October only after final Chairman/Committee/Communications pre-publication check | Provisional | Executive Sponsor / Committee / Communications | Communications must contain no fundraising language, must not describe the Bursary as a charity, society, foundation, or ROS body,...","Approval Evidence Needed","Administrative","Convert to approval evidence item","No ROS activation and no fundraising in Phase 1.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-115","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","9. Privacy, Records, and Communications Decisions","| COM-03 | Beneficiary names/photos | Do not publish without specific written consent | Approved control | Committee / Communications | Applies to child names, photos, school names, personal stories, and family circumstances | Management decision 2026-06-11 | 2026-06-11 |","Warning / Control Text","Administrative","Keep as warning/control","Final communications still need pre-publication check.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-116","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","10. Launch Gate Closure Tracker","| Thai labour/discretionary wording approved | Closed for Phase 1 internal operation | Chairman / Committee / HR | Approved internally for Phase 1 operation, subject to the approved controls in this document. | 2026-06-11 |","Approval Evidence Needed","Administrative","Convert to approval evidence item","Appeals go to the Chairman of the Committee.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-117","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","10. Launch Gate Closure Tracker","| Selection method approved | Provisional | HR / Executive Sponsor | Need-weighted committee scoring recorded; final approval/sign-off still required | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-118","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","10. Launch Gate Closure Tracker","| Committee appointed | Closed | Executive Sponsor / HR / Committee | Phase 1 Committee confirmed; conflict/confidentiality declarations still required before review/decision activity | 2026-06-11 |","Warning / Control Text","Administrative","Keep as warning/control","Phase 1 Committee is confirmed: Alex Maroske, Jacquline Ho, Malee Pasutharnchart, Luke Byrne, Sittikorn Intahkaew.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-119","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","10. Launch Gate Closure Tracker","| Internal communication approved | Open | Executive Sponsor / HR / Committee / Communications | Final pre-publication check required | |","Approval Evidence Needed","Administrative","Convert to approval evidence item","Final communications still need pre-publication check.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-120","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","10. Launch Gate Closure Tracker","| LinkedIn/corporate website communication approved | Open | Executive Sponsor / Committee / Communications | Final pre-publication check required | |","Approval Evidence Needed","Administrative","Convert to approval evidence item","Final communications still need pre-publication check.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-121","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","11. Assumption Register For Drafting","| A-05 | No public fundraising at Phase 1 | LinkedIn, internal communications | Regulatory exposure in Singapore | Legal / Executive Sponsor | Provisional |","Already Decided / Needs Propagation","Minor","No action","No ROS activation and no fundraising in Phase 1.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-122","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","11. Assumption Register For Drafting","| A-06 | There is no automatic renewal and no automatic renewal priority; each award year is a reset | Charter, SOP, award letter | Entitlement expectation | HR / Legal | Provisional |","Already Decided / Needs Propagation","Major","Replace with confirmed wording","Annual reset; no automatic renewal and no automatic renewal priority.","","Keep annual reset wording and remove renewal priority wording.","Already Answered"
"DEC-123","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","12. Change Log","| 2026-06-11 | Initial decision log created | ChatGPT | Based on setup brief, decision questionnaire, compliance action note, and roadmap |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-124","01_drafting/decisions/EDrill_Family_Bursary_Decision_Log.md","12. Change Log","| 2026-06-11 | Phase 1 blocker decisions incorporated | ChatGPT | Closed or reclassified committee appointment, EDMPL funding entity, payroll/payment mechanics, internal compliance approval, and labour-hire agency payment model; final communications approval remains open |","Approval Evidence Needed","Administrative","Convert to approval evidence item","Funding entity is Energy Drilling Management Pte. Ltd. / EDMPL.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Finance/Admin Evidence"
"DEC-125","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","The EDrill Family Bursary - Eligibility and Selection Rules","Effective date: To be confirmed","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-126","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","The EDrill Family Bursary - Eligibility and Selection Rules","Owner: To be confirmed","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-127","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","The EDrill Family Bursary - Eligibility and Selection Rules","Important: this draft reflects confirmed Phase 1 management decisions recorded in the decision log. It remains in draft form and must not be treated as operational until the Launch Approval Checklist records all required Phase 1 approvals and final communications checks.","Warning / Control Text","Administrative","Keep as warning/control","Final communications still need pre-publication check.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-128","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","2. Core Principles","The Bursary should be administered according to the following principles:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-129","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","2. Core Principles","1. Fairness: similar applications should be treated consistently.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-130","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","2. Core Principles","5. Privacy: only necessary personal and family data should be collected.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-131","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","2. Core Principles","6. Transparency: selection criteria should be documented before applications are reviewed.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-132","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","3. Award Year","The final Award Year dates, application opening date, and application closing date must be approved before applications open.","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-133","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","4. Eligible Applicant Categories","The provisional eligible applicant categories are:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-134","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","4. Eligible Applicant Categories","The Bursary does not apply to Myanmar or other locations unless formally extended.","Warning / Control Text","Administrative","Keep as warning/control","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-135","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","6. Salary Threshold","The provisional salary threshold is monthly salary below THB 100,000.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-136","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","6. Salary Threshold","The provisional salary definition is:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-137","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","6. Salary Threshold","> base monthly salary plus fixed contractual allowances, excluding variable overtime unless Finance decides otherwise.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-138","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","6. Salary Threshold","The salary threshold should be tested at:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-139","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","7. Minimum Service","The provisional minimum service requirement for EDrill employees is 12 months of continuous service before the application closing date.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-140","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","8. Labour-Hire Agency Eligibility","Labour-hire agency participation is provisional and must be approved before use.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-141","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","8. Labour-Hire Agency Eligibility","Approved wording: > eligible employees of the appointed labour-hire agency at the time of application who are assigned to EDrill rigs","Already Decided / Needs Propagation","Major","Replace with confirmed wording","Use: eligible employees of the appointed labour-hire agency at the time of application who are assigned to EDrill rigs.","","Remove contractor alternative from active drafts; keep agency-neutral wording.","Already Answered"
"DEC-142","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","8. Labour-Hire Agency Eligibility","or: > eligible employees of EDrill's contractor working on EDrill rigs","Already Decided / Needs Propagation","Major","Replace with confirmed wording","Use: eligible employees of the appointed labour-hire agency at the time of application who are assigned to EDrill rigs.","","Remove contractor alternative from active drafts; keep agency-neutral wording.","Already Answered"
"DEC-143","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","11. Eligible Schools","The provisional eligible school categories are:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-144","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","11. Eligible Schools","Applicants must list the school attended. Government and private schools in Thailand are included. International schools should be reviewed for cost reasonableness unless the Executive Sponsor approves an exclusion, cap, or separate rule.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-145","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","11. Eligible Schools","Homeschooling and online schooling are provisionally excluded for the first launch unless legally recognised and evidence is clear.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-146","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","12. Evidence Required","Provisional evidence requirements include:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-147","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","12. Evidence Required","- labour-hire agency employment and assignment verification, if applicable.","Wording Choice","Minor","Decide","","Which wording or option should be retained in the final issue version?","Remove alternatives and retain the selected wording.","Needs Alex Decision"
"DEC-148","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","12. Evidence Required","Finance verifies salary eligibility internally. Applicants should not be required to submit a payslip unless Finance later requires it as an exception.","Warning / Control Text","Administrative","Keep as warning/control","EDrill employee payments go through normal payroll into the employee bank account as a payslip line item.","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-149","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","14. Selection When Applications Do Not Exceed Available Places","If eligible applications are equal to or fewer than the approved number of Bursary places, the Committee may recommend all eligible applications, subject to:","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-150","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","15. Selection When Applications Exceed Available Places","The provisional scoring model is:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-151","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","16. Tie-Breakers","If applicants receive the same score, the provisional tie-breakers are:","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-152","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","16. Tie-Breakers","5. Committee Chair decision, recorded with reasons.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-153","01_drafting/eligibility-criteria/draft/EDrill_Family_Bursary_Eligibility_and_Selection_Rules_DRAFT.md","17. Renewal Selection","Each award year is a reset. Existing recipients may reapply and will be assessed under the same criteria as other applicants, subject to eligibility, available places, and annual approval.","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-154","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","The EDrill Family Bursary - Decision Log","Working status: live decision register","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-155","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","The EDrill Family Bursary - Decision Log","Rule: no item should be treated as approved unless the decision, owner, date, and evidence/source are recorded.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-156","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Approved: decision confirmed by accountable owner.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-157","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Provisional: working assumption allowed for drafting, but not for launch.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-158","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Open: decision not yet made.","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-159","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Blocked: decision cannot be made until another action is completed.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-160","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","1. Decision Status Key","- Superseded: earlier decision replaced by a later approved decision.","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-161","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","2. Approval Rules","- Conflict-of-interest and confidentiality declarations before Committee review or decision activity.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-162","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","2. Approval Rules","Drafting may proceed using the approved Phase 1 internal positions, but documents must not be moved to approved folders or treated as operational until the Launch Approval Checklist records all required Phase 1 approvals.","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-163","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-164","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-01 | Scheme name | The EDrill Family Bursary | Provisional | Executive Sponsor | | Email chain / pending approval | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-165","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-02 | Scheme type | Internal company-funded discretionary education bursary | Approved | Executive Sponsor / Committee | Approved internally for Phase 1 operation, subject to the approved controls in this document | Management decision 2026-06-11 | 2026-06-11 |","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-166","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-03 | Legal/funding entity | Energy Drilling Management Pte. Ltd. (EDMPL) | Approved | Finance / Executive Sponsor / Committee | EDMPL is the confirmed Phase 1 funding entity. Cost centre / GL code is a Finance administrative processing detail and is not a policy blocker. | Management decision 2026-06-11 | 2026-06-11 |","Already Decided / Needs Propagation","Minor","No action","Funding entity is Energy Drilling Management Pte. Ltd. / EDMPL.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-167","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-04 | Launch date | 1 October 2026 | Provisional | Executive Sponsor | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-168","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-05 | Launch geography | Thailand only | Provisional | Executive Sponsor | | Email chain | |","Already Decided / Needs Propagation","Minor","No action","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-169","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-06 | Myanmar extension | Excluded for launch; review later | Provisional | Executive Sponsor | | Email chain | |","Already Decided / Needs Propagation","Minor","No action","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-170","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-07 | Maximum awards | Up to 6 bursaries per award year | Provisional | Executive Sponsor | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-171","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","3. Executive Decisions","| EX-08 | Public communication | LinkedIn and corporate website post effective 1 October 2026, after final Chairman/Committee/Communications pre-publication check and no fundraising wording | Provisional | Executive Sponsor / HR / Communications / Committee | Final communications approval remains a pre-publication check | Management decision 2026-06-11 | ...","Approval Evidence Needed","Administrative","Convert to approval evidence item","No ROS activation and no fundraising in Phase 1.","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-172","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-173","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-01 | Eligible EDrill employees | Thailand operations employees / crew assigned to ED1, ED2, T15, T16, GHTH, and EVE, subject to criteria | Provisional | Bangkok HR / Operations | | Email chain | |","Approval Evidence Needed","Administrative","Convert to approval evidence item","","What evidence, approver, and completion date should be recorded for this item?","Record completion evidence or keep as launch gate.","Needs Committee Approval"
"DEC-174","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-02 | Salary threshold | Monthly salary below THB 100,000 | Provisional | HR / Finance | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-175","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-03 | Salary definition | Base monthly salary plus fixed contractual allowances; exclude variable overtime unless Finance advises otherwise | Provisional | Finance / HR | | Decision questionnaire default | |","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-176","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-04 | Salary test date | Application closing date and award approval date | Provisional | HR / Finance | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-177","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-05 | Minimum service for EDrill employees | Minimum continuous service required for all applicants; exact reference date to be aligned with application deadline and HR records | Provisional | HR / Executive Sponsor | User confirmed yes, minimum service applies to all | User clarification 2026-06-11 | 2026-06-11 |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-178","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-06 | Child age | Child must be under 12, meaning the child must not turn 13 during the calendar year of award; for the first cycle, a child who turns 12 in 2026 remains eligible | Provisional | HR / Executive Sponsor | User clarified maximum child turns 12 in 2026, or under 12 | User clarification 2026-06-11 | 2026-06-11 |","Warning / Control Text","Administrative","Keep as warning/control","","","Leave unchanged unless final policy tone requires shortening.","Keep"
"DEC-179","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-07 | Child relationship | Include child, adopted child, stepchild, legal dependant, or child under legal guardianship if documented | Provisional | HR / Legal | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-180","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-08 | Multiple children per family | A family may apply for multiple eligible children. Each child/application is means-tested and assessed separately under the approved criteria and the annual award cap. | Provisional | HR / Executive Sponsor | User confirmed one family can apply for multiple children and all are means-tested | User clarification 202...","Already Decided / Needs Propagation","Minor","No action","Families may apply for multiple children; each child/application is means-tested separately under the annual cap.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-181","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","4. Eligibility Decisions","| EL-09 | Other education benefits | No double benefit for same child and same expense | Provisional | HR / Finance | | Decision questionnaire default | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-182","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| ID | Decision area | Current recommended position | Status | Accountable owner | Decision / final wording | Evidence/source | Date |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-183","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-01 | School country | Thailand only | Provisional | Executive Sponsor / HR | | Email chain | |","Already Decided / Needs Propagation","Minor","No action","Phase 1 is Thailand-only; future expansion is later review only.","","Leave unchanged if wording already reflects known decision.","Already Answered"
"DEC-184","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-02 | Government schools | Included | Provisional | Executive Sponsor / HR | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
"DEC-185","01_drafting/governance/decisions/EDrill_Family_Bursary_Decision_Log.md","5. Schooling Decisions","| SC-03 | Private schools | Included | Provisional | Executive Sponsor / HR | | Email chain | |","Decision Needed","Minor","Decide","","Should this advisory or decision-like wording remain in the final issue version?","Update affected document after Alex/Committee answer.","Needs Alex Decision"
